Estado,Cidade,CNPJ,Sigla,Razão Social,"Resultado
2ª FASE","Linha
Solicitada",Valor,Classificação,DATA INÍCIO,DATA FIM,Processo SEI
Espírito Santo,VITÓRIA,27373125000113,SEE,SOCIEDADE ESPIRITO SANTENSE DE ENGENHEIROS,Classificada,2,"R$ 50.000,00",9,2/1/2025,6/30/2025,00.007409/2024-32
São Paulo,GUARULHOS,51264893000113,ASSEAG,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DE GUARULHOS",Classificada,2,"R$ 50.000,00",10,3/1/2025,3/31/2025,00.007551/2024-80
São Paulo,FERNANDÓPOLIS,51845055000133,AEAF,ASSOCIAÇÃO DOS ENGENHEIROS E AGRÔNOMOS DE FERNANDÓPOLIS,Classificada,2,"R$ 50.000,00",11,3/1/2025,5/31/2025,00.007511/2024-38
São Paulo,VOTUPORANGA,51855021000120,SEARVO,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DA REGIÃO DE VOTUPORANGA",Classificada,2,"R$ 50.000,00",12,3/1/2025,5/31/2025,00.007544/2024-88
São Paulo,ILHA SOLTEIRA,51104644000160,AREIA,ASSOCIAÇÃO REGIONAL DOS ENGENHEIROS DE ILHA SOLTEIRA E ADJACÊNCIAS,Classificada,2,"R$ 50.000,00",13,3/1/2025,5/31/2025,00.007571/2024-51
São Paulo,ANDRADINA,55751812000160,AEAR,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DE ANDRADINA E REGIÃO",Classificada,2,"R$ 50.000,00",14,3/1/2025,5/31/2025,00.007545/2024-22
São Paulo,MARÍLIA,45965415000138,AEA,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRÔNOMOS DE MARÍLIA E REGIÃO",Classificada,2,"R$ 48.900,00",15,4/14/2025,4/16/2025,00.007552/2024-24
São Paulo,TAQUARITINGA,56897143000100,AEAAT,"ASSOCIAÇÃO DOS ENGENHEIROS, ARQUITETOS E AGRONOMOS DE TAQUARITINGA",Classificada,2,"R$ 49.330,00",16,2/10/2025,6/30/2025,00.007558/2024-00
Minas Gerais,BELO HORIZONTE,65171886000181,IMEC,INSTITUTO MINEIRO DE ENGENHARIA CIVIL IMEC,Classificada,2,"R$ 50.000,00",17,3/1/2025,5/30/2025,00.007421/2024-47
Distrito Federal,BRASÍLIA,04102397000183,FENEMI,FEDERAÇÃO NACIONAL DE ENGENHARIA MECÂNICA E INDUSTRIAL,Classificada,2,"R$ 50.000,00",18,3/1/2025,6/30/2025,00.007404/2024-18
Minas Gerais,BELO HORIZONTE,12076579000155,INEC,INSTITUTO NACIONAL DE ENGENHARIA CIVIL,Classificada,2,"R$ 50.000,00",19,3/1/2025,5/30/2025,00.007423/2024-36
Mato Grosso,CUIABÁ,15037484000110,ABENC,ASSOCIAÇÃO BRASILEIRA DE ENGENHEIROS CIVIS DPTO MATO GROSSO,Classificada,2,"R$ 48.000,00",20,1/10/2025,3/30/2025,00.007431/2024-82
